Sample Time MS,Sample Cycles,Interesting Time MS,Interesting Cycles,Q Sort Time MS,Q Sort Cycles
701,2236748,517,1651572,285,909149
323,1031234,322,1025994,95,303478
272,870157,315,1003783,93,297348
252,803602,263,837697,103,330378
379,1209254,281,894032,80,254107
469,1498016,336,1070565,100,317459
448,1429742,235,747279,79,251679
458,1461644,252,801855,99,315517
492,1569656,246,785333,82,262970
380,1212988,270,861729,83,264471
333,1061175,216,688494,81,259860
412,1313998,255,812702,99,316765
393,1252282,239,765495,81,258675
403,1286112,217,692446,82,264404
519,1656225,375,1196957,158,502023
331,1056731,341,1088526,113,362354
275,875380,283,904219,90,288993
260,832064,254,809054,90,287014
274,873691,269,858048,89,286474
247,790973,240,767152,89,284678
337,1076913,259,826288,85,270157
342,1090731,281,896933,98,313189
339,1083128,312,994264,86,273037
370,1183424,263,840896,82,263932
280,895508,290,926206,88,281186
386,1231814,264,843386,99,316414
258,821853,246,784506,81,257511
399,1272091,220,700279,115,367130
413,1317385,241,771369,80,256146
436,1392455,242,772188,86,274467
240,766838,264,842083,84,269782
274,872986,364,1162793,100,319856
321,1024793,262,838101,82,262234
247,787963,360,1147312,131,417835
467,1487800,229,730153,85,268557
264,841185,366,1169888,106,338346
374,1194245,260,828636,94,299923
364,1159543,255,814633,85,273206
249,795022,393,1253693,114,363729
284,906705,261,830236,88,280015
242,769421,244,776418,85,272104
239,761207,302,962721,89,283106
361,1146228,396,1263480,92,293690
274,874434,285,911735,87,277468
280,894798,288,921400,90,285583
294,938806,272,867460,85,271602
348,1110342,296,943563,103,328810
350,1115483,402,1280909,85,271043
245,783469,233,740985,93,296558
239,760794,236,750511,92,293029
297,949934,272,869311,79,251870
401,1280401,228,725660,99,317763
383,1222051,213,680936,80,257490
369,1175420,293,932749,96,306972
423,1349345,218,696519,80,256406
371,1182120,223,711304,108,342751
382,1218401,336,1072038,168,536172
458,1460116,348,1109909,129,412628
328,1047059,404,1289390,133,422180
531,1695466,264,841761,84,267328
350,1116411,348,1110233,84,266989
252,804219,276,881558,85,273180
288,919433,276,881264,87,276543
301,959978,318,1014628,83,266052
270,863924,303,966608,89,284235
334,1065511,306,975768,86,272475
421,1341505,380,1212894,94,299220
314,1001962,286,914089,86,273396
389,1241315,299,952955,81,259564
332,1059452,257,818462,102,325383
322,1025428,227,722859,82,262804
326,1039824,216,688547,100,318906
334,1067982,238,759464,86,276037
314,1001428,261,834178,85,272714
246,786429,266,847970,92,293132
238,760917,224,715302,85,270153
257,821737,231,737526,87,275719
280,893313,333,1063101,112,355507
422,1348181,319,1018796,85,271447
278,887619,311,991827,87,278879
306,975754,253,809921,86,273710
243,776355,243,776798,85,273605
247,788197,295,940163,87,278012
241,768736,253,808413,95,302289
